,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,IPS,Touchscreen,Layer1SDD,Layer1Flash_storage,HDD,SSD,Hybrid,Flash_Storage
0,Apple,Ultrabook,Intel Core i5,8,128GB SSD,Intel Iris,Mac OS,1.37,119326,227.0,1,0,0,0,0,128,0,0
1,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.34,80069,128.0,0,0,0,1,0,0,0,128
2,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,51215,141.0,0,0,0,0,0,256,0,0
4,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,160647,227.0,1,0,0,0,0,256,0,0
5,Acer,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,35628,100.0,0,0,0,0,500,0,0,0
7,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.34,103205,128.0,0,0,0,1,0,0,0,256
8,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.3,133160,157.0,0,0,0,0,0,512,0,0
9,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,68584,157.0,1,0,0,0,0,256,0,0
10,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,35085,100.0,0,0,0,0,500,0,0,0
11,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,30728,141.0,0,0,0,0,500,0,0,0
13,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Windows 10,2.2,44437,141.0,0,0,0,0,0,256,0,0
15,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,Mac OS,1.37,135257,227.0,1,0,0,0,0,256,0,0
16,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,66357,141.0,0,0,0,0,0,256,0,0
